#SampleID	ID	Amdmt	Plants	Day	DayAmdmt
S001	A	0	0	0	00
S002	B	1	0	0	01
S003	C	0	1	0	00
S004	D	1	1	0	01
S006	A	0	0	0	00
S007	B	1	0	0	01
S008	C	0	1	0	00
S009	D	1	1	0	01
S011	A	0	0	0	00
S012	B	1	0	0	01
S013	C	0	1	0	00
S014	D	1	1	0	01
S016	A	0	0	0	00
S017	B	1	0	0	01
S018	C	0	1	0	00
S019	D	1	1	0	01
S021	A	0	0	0	00
S022	B	1	0	0	01
S023	C	0	1	0	00
S024	D	1	1	0	01
S026	A	0	0	0	00
S027	B	1	0	0	01
S028	C	0	1	0	00
S029	D	1	1	0	01
S031	A	0	0	0	00
S032	B	1	0	0	01
S033	C	0	1	0	00
S034	D	1	1	0	01
S036	A	0	0	0	00
S037	B	1	0	0	01
S038	C	0	1	0	00
S039	D	1	1	0	01
S041	F	2	0	0	02
S042	F	2	0	0	02
S043	F	2	0	0	02
S044	F	2	0	0	02
S045	F	2	0	0	02
S046	F	2	0	0	02
S047	F	2	0	0	02
S048	F	2	0	0	02
S101	A	0	0	1	10
S102	B	1	0	1	11
S103	C	0	1	1	10
S104	D	1	1	1	11
S106	A	0	0	1	10
S107	B	1	0	1	11
S108	C	0	1	1	10
S109	D	1	1	1	11
S111	A	0	0	1	10
S112	B	1	0	1	11
S113	C	0	1	1	10
S114	D	1	1	1	11
S116	A	0	0	1	10
S117	B	1	0	1	11
S118	C	0	1	1	10
S119	D	1	1	1	11
S121	A	0	0	1	10
S122	B	1	0	1	11
S123	C	0	1	1	10
S124	D	1	1	1	11
S126	A	0	0	1	10
S127	B	1	0	1	11
S128	C	0	1	1	10
S129	D	1	1	1	11
S131	A	0	0	1	10
S132	B	1	0	1	11
S133	C	0	1	1	10
S134	D	1	1	1	11
S136	A	0	0	1	10
S137	B	1	0	1	11
S138	C	0	1	1	10
S139	D	1	1	1	11
S141	F	2	0	1	12
S142	F	2	0	1	12
S143	F	2	0	1	12
S144	F	2	0	1	12
S145	F	2	0	1	12
S146	F	2	0	1	12
S147	F	2	0	1	12
S148	F	2	0	1	12
S201	A	0	0	2	20
S202	B	1	0	2	21
S203	C	0	1	2	20
S204	D	1	1	2	21
S206	A	0	0	2	20
S207	B	1	0	2	21
S208	C	0	1	2	20
S209	D	1	1	2	21
S212	B	1	0	2	21
S213	C	0	1	2	20
S214	D	1	1	2	21
S216	A	0	0	2	20
S217	B	1	0	2	21
S218	C	0	1	2	20
S219	D	1	1	2	21
S221	A	0	0	2	20
S222	B	1	0	2	21
S223	C	0	1	2	20
S224	D	1	1	2	21
S226	A	0	0	2	20
S227	B	1	0	2	21
S228	C	0	1	2	20
S229	D	1	1	2	21
S231	A	0	0	2	20
S232	B	1	0	2	21
S233	C	0	1	2	20
S234	D	1	1	2	21
S236	A	0	0	2	20
S237	B	1	0	2	21
S238	C	0	1	2	20
S239	D	1	1	2	21
S241	F	2	0	2	22
S242	F	2	0	2	22
S243	F	2	0	2	22
S244	F	2	0	2	22
S245	F	2	0	2	22
S246	F	2	0	2	22
S247	F	2	0	2	22
S248	F	2	0	2	22
