"Day","Phylum","FamName","Responders","count","Phylumtotal","Fraction"
1,"Acidobacteria","Acidobacteriaceae","None",13,358,0.0363128491620112
1,"Acidobacteria","Acidobacteriaceae","Stover",2,358,0.00558659217877095
1,"Acidobacteria","AKIW659","None",1,358,0.00279329608938547
1,"Acidobacteria","Ellin6075","None",14,358,0.0391061452513966
1,"Acidobacteria","Holophagaceae","None",3,358,0.00837988826815642
1,"Acidobacteria","Holophagaceae","Stover",1,358,0.00279329608938547
1,"Acidobacteria","Koribacteraceae","None",50,358,0.139664804469274
1,"Acidobacteria","Koribacteraceae","Stover",1,358,0.00279329608938547
1,"Acidobacteria","mb2424","None",5,358,0.0139664804469274
1,"Acidobacteria","PAUC26f","None",1,358,0.00279329608938547
1,"Acidobacteria","PK34","None",1,358,0.00279329608938547
1,"Acidobacteria","RB40","None",15,358,0.0418994413407821
1,"Acidobacteria","Solibacteraceae","None",27,358,0.0754189944134078
1,"Acidobacteria","Unknown","None",223,358,0.622905027932961
1,"Acidobacteria","Unknown","Stover",1,358,0.00279329608938547
1,"Actinobacteria","Actinospicaceae","None",1,346,0.00289017341040462
1,"Actinobacteria","Actinosynnemataceae","None",3,346,0.00867052023121387
1,"Actinobacteria","Actinosynnemataceae","Stover",1,346,0.00289017341040462
1,"Actinobacteria","C111","None",17,346,0.0491329479768786
1,"Actinobacteria","Cellulomonadaceae","None",1,346,0.00289017341040462
1,"Actinobacteria","Cellulomonadaceae","Stover",1,346,0.00289017341040462
1,"Actinobacteria","Conexibacteraceae","None",8,346,0.023121387283237
1,"Actinobacteria","EB1017","None",16,346,0.046242774566474
1,"Actinobacteria","Frankiaceae","None",6,346,0.0173410404624277
1,"Actinobacteria","Gaiellaceae","None",47,346,0.135838150289017
1,"Actinobacteria","Gaiellaceae","Stover",1,346,0.00289017341040462
1,"Actinobacteria","Geodermatophilaceae","None",4,346,0.0115606936416185
1,"Actinobacteria","Iamiaceae","None",1,346,0.00289017341040462
1,"Actinobacteria","Intrasporangiaceae","None",4,346,0.0115606936416185
1,"Actinobacteria","Intrasporangiaceae","Stover",2,346,0.00578034682080925
1,"Actinobacteria","Kineosporiaceae","None",1,346,0.00289017341040462
1,"Actinobacteria","Microbacteriaceae","None",4,346,0.0115606936416185
1,"Actinobacteria","Microbacteriaceae","Stover",4,346,0.0115606936416185
1,"Actinobacteria","Micrococcaceae","Stover",3,346,0.00867052023121387
1,"Actinobacteria","Micromonosporaceae","None",16,346,0.046242774566474
1,"Actinobacteria","Microthrixaceae","None",2,346,0.00578034682080925
1,"Actinobacteria","Mycobacteriaceae","None",3,346,0.00867052023121387
1,"Actinobacteria","Nakamurellaceae","None",2,346,0.00578034682080925
1,"Actinobacteria","Nocardiaceae","Both",2,346,0.00578034682080925
1,"Actinobacteria","Nocardiaceae","None",3,346,0.00867052023121387
1,"Actinobacteria","Nocardiaceae","PyOM",1,346,0.00289017341040462
1,"Actinobacteria","Nocardioidaceae","None",16,346,0.046242774566474
1,"Actinobacteria","Nocardioidaceae","Stover",3,346,0.00867052023121387
1,"Actinobacteria","Nocardiopsaceae","Both",1,346,0.00289017341040462
1,"Actinobacteria","Patulibacteraceae","None",8,346,0.023121387283237
1,"Actinobacteria","Promicromonosporaceae","Stover",1,346,0.00289017341040462
1,"Actinobacteria","Propionibacteriaceae","None",3,346,0.00867052023121387
1,"Actinobacteria","Propionibacteriaceae","Stover",1,346,0.00289017341040462
1,"Actinobacteria","Pseudonocardiaceae","None",9,346,0.0260115606936416
1,"Actinobacteria","Pseudonocardiaceae","PyOM",1,346,0.00289017341040462
1,"Actinobacteria","Pseudonocardiaceae","Stover",1,346,0.00289017341040462
1,"Actinobacteria","Solirubrobacteraceae","None",2,346,0.00578034682080925
1,"Actinobacteria","Sporichthyaceae","None",4,346,0.0115606936416185
1,"Actinobacteria","Streptomycetaceae","None",4,346,0.0115606936416185
1,"Actinobacteria","Streptomycetaceae","Stover",3,346,0.00867052023121387
1,"Actinobacteria","Streptosporangiaceae","None",2,346,0.00578034682080925
1,"Actinobacteria","Streptosporangiaceae","Stover",1,346,0.00289017341040462
1,"Actinobacteria","Thermomonosporaceae","None",4,346,0.0115606936416185
1,"Actinobacteria","Unknown","Both",1,346,0.00289017341040462
1,"Actinobacteria","Unknown","None",126,346,0.364161849710983
1,"Actinobacteria","Williamsiaceae","None",1,346,0.00289017341040462
1,"AD3","Unknown","None",10,10,1
1,"Armatimonadetes","Armatimonadaceae","None",7,98,0.0714285714285714
1,"Armatimonadetes","Chthonomonadaceae","None",14,98,0.142857142857143
1,"Armatimonadetes","[Fimbriimonadaceae]","None",12,98,0.122448979591837
1,"Armatimonadetes","[Fimbriimonadaceae]","Stover",1,98,0.0102040816326531
1,"Armatimonadetes","Unknown","None",63,98,0.642857142857143
1,"Armatimonadetes","Unknown","Stover",1,98,0.0102040816326531
1,"Bacteroidetes","Chitinophagaceae","Both",2,252,0.00793650793650794
1,"Bacteroidetes","Chitinophagaceae","None",89,252,0.353174603174603
1,"Bacteroidetes","Chitinophagaceae","PyOM",2,252,0.00793650793650794
1,"Bacteroidetes","Chitinophagaceae","Stover",11,252,0.0436507936507936
1,"Bacteroidetes","Cryomorphaceae","None",3,252,0.0119047619047619
1,"Bacteroidetes","Cryomorphaceae","Stover",2,252,0.00793650793650794
1,"Bacteroidetes","Cytophagaceae","Both",1,252,0.00396825396825397
1,"Bacteroidetes","Cytophagaceae","None",35,252,0.138888888888889
1,"Bacteroidetes","Cytophagaceae","PyOM",1,252,0.00396825396825397
1,"Bacteroidetes","Cytophagaceae","Stover",10,252,0.0396825396825397
1,"Bacteroidetes","Flavobacteriaceae","None",1,252,0.00396825396825397
1,"Bacteroidetes","Flavobacteriaceae","Stover",3,252,0.0119047619047619
1,"Bacteroidetes","Saprospiraceae","None",3,252,0.0119047619047619
1,"Bacteroidetes","Sphingobacteriaceae","None",5,252,0.0198412698412698
1,"Bacteroidetes","Sphingobacteriaceae","Stover",10,252,0.0396825396825397
1,"Bacteroidetes","Unknown","None",63,252,0.25
