"Day","Phylum","OrdName","Responders","count","Phylumtotal","Fraction"
1,"Acidobacteria","11-24","None",4,358,0.0111731843575419
1,"Acidobacteria","32-20","None",5,358,0.0139664804469274
1,"Acidobacteria","Acidobacteriales","None",63,358,0.175977653631285
1,"Acidobacteria","Acidobacteriales","Stover",3,358,0.00837988826815642
1,"Acidobacteria","CCU21","None",17,358,0.0474860335195531
1,"Acidobacteria","DS-100","None",2,358,0.00558659217877095
1,"Acidobacteria","DS-18","None",10,358,0.0279329608938547
1,"Acidobacteria","Ellin6513","None",14,358,0.0391061452513966
1,"Acidobacteria","Ellin7246","None",1,358,0.00279329608938547
1,"Acidobacteria","Holophagales","None",3,358,0.00837988826815642
1,"Acidobacteria","Holophagales","Stover",1,358,0.00279329608938547
1,"Acidobacteria","iii1-15","None",70,358,0.195530726256983
1,"Acidobacteria","iii1-15","Stover",1,358,0.00279329608938547
1,"Acidobacteria","MVS-40","None",2,358,0.00558659217877095
1,"Acidobacteria","PK29","None",6,358,0.0167597765363128
1,"Acidobacteria","RB41","None",23,358,0.0642458100558659
1,"Acidobacteria","SJA-36","None",1,358,0.00279329608938547
1,"Acidobacteria","Solibacterales","None",63,358,0.175977653631285
1,"Acidobacteria","Sva0725","None",18,358,0.0502793296089385
1,"Acidobacteria","Unknown","None",51,358,0.142458100558659
1,"Actinobacteria","0319-7L14","None",18,346,0.0520231213872832
1,"Actinobacteria","Acidimicrobiales","None",79,346,0.228323699421965
1,"Actinobacteria","Actinomycetales","Both",4,346,0.0115606936416185
1,"Actinobacteria","Actinomycetales","None",115,346,0.332369942196532
1,"Actinobacteria","Actinomycetales","PyOM",2,346,0.00578034682080925
1,"Actinobacteria","Actinomycetales","Stover",21,346,0.0606936416184971
1,"Actinobacteria","Gaiellales","None",63,346,0.182080924855491
1,"Actinobacteria","Gaiellales","Stover",1,346,0.00289017341040462
1,"Actinobacteria","Solirubrobacterales","None",41,346,0.11849710982659
1,"Actinobacteria","Unknown","None",2,346,0.00578034682080925
1,"AD3","Unknown","None",10,10,1
1,"Armatimonadetes","Armatimonadales","None",7,98,0.0714285714285714
1,"Armatimonadetes","Chthonomonadales","None",14,98,0.142857142857143
1,"Armatimonadetes","[Fimbriimonadales]","None",14,98,0.142857142857143
1,"Armatimonadetes","[Fimbriimonadales]","Stover",1,98,0.0102040816326531
1,"Armatimonadetes","FW68","None",4,98,0.0408163265306122
1,"Armatimonadetes","FW68","Stover",1,98,0.0102040816326531
1,"Armatimonadetes","SJA-22","None",8,98,0.0816326530612245
1,"Armatimonadetes","Unknown","None",49,98,0.5
1,"Bacteroidetes","Cytophagales","Both",1,252,0.00396825396825397
1,"Bacteroidetes","Cytophagales","None",35,252,0.138888888888889
1,"Bacteroidetes","Cytophagales","PyOM",1,252,0.00396825396825397
1,"Bacteroidetes","Cytophagales","Stover",10,252,0.0396825396825397
1,"Bacteroidetes","Flavobacteriales","None",6,252,0.0238095238095238
1,"Bacteroidetes","Flavobacteriales","Stover",13,252,0.0515873015873016
1,"Bacteroidetes","[Saprospirales]","Both",2,252,0.00793650793650794
1,"Bacteroidetes","[Saprospirales]","None",97,252,0.384920634920635
1,"Bacteroidetes","[Saprospirales]","PyOM",2,252,0.00793650793650794
1,"Bacteroidetes","[Saprospirales]","Stover",11,252,0.0436507936507936
1,"Bacteroidetes","Sphingobacteriales","None",60,252,0.238095238095238
1,"Bacteroidetes","Sphingobacteriales","Stover",11,252,0.0436507936507936
1,"Bacteroidetes","Unknown","None",3,252,0.0119047619047619
1,"BHI80-139","Unknown","None",1,1,1
1,"BRC1","Unknown","None",7,7,1
1,"Chlorobi","A89","None",2,6,0.333333333333333
1,"Chlorobi","Unknown","None",4,6,0.666666666666667
1,"Chloroflexi","A31","None",9,293,0.0307167235494881
1,"Chloroflexi","AKIW781","None",3,293,0.0102389078498294
1,"Chloroflexi","AKYG1722","None",4,293,0.0136518771331058
1,"Chloroflexi","AKYG885","None",9,293,0.0307167235494881
1,"Chloroflexi","B07_WMSP1","None",8,293,0.0273037542662116
1,"Chloroflexi","B10-SB3A","None",1,293,0.00341296928327645
1,"Chloroflexi","B10-SB3A","Stover",1,293,0.00341296928327645
1,"Chloroflexi","Caldilineales","None",7,293,0.0238907849829352
1,"Chloroflexi","CFB-26","None",3,293,0.0102389078498294
1,"Chloroflexi","Elev-1554","None",2,293,0.0068259385665529
1,"Chloroflexi","Ellin6537","None",3,293,0.0102389078498294
1,"Chloroflexi","envOPS12","None",7,293,0.0238907849829352
1,"Chloroflexi","H39","None",5,293,0.0170648464163823
1,"Chloroflexi","JG30-KF-AS9","None",19,293,0.0648464163822526
1,"Chloroflexi","JG30-KF-CM45","None",15,293,0.0511945392491468
1,"Chloroflexi","Ktedonobacterales","None",16,293,0.0546075085324232
1,"Chloroflexi","mle1-48","None",4,293,0.0136518771331058
1,"Chloroflexi","[Roseiflexales]","None",3,293,0.0102389078498294
1,"Chloroflexi","SBR1031","None",25,293,0.0853242320819113
1,"Chloroflexi","Thermogemmatisporales","None",23,293,0.0784982935153584
1,"Chloroflexi","TK10","None",12,293,0.0409556313993174
1,"Chloroflexi","Unknown","None",112,293,0.382252559726962
